lead_id,fecha_lead,industria,programa_producto_interes,tipo_campana,fuente_meta,dispositivo,hora_generacion,cargo_lead,empresa_lead,ciudad,urgencia_compra,interaccion_previa,horas_hasta_contacto,lead_respondio,intentos_contacto,observacion_asesor,status,compro
L0307,2025-11-19,Seguros,Seguro de Salud,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Asistente,Empresa 56,Neiva,2,No,21,No,1,Ya contrató con otro,NC,No
L0308,2025-10-14,Educación,IA Generativa para Empresas,WhatsApp,Facebook,Mobile,Madrugada (12am-6am),Profesional Independiente,Empresa 388,Cúcuta,10,No,64,No,7,Llamar nuevamente,NC,No
L0309,2025-11-10,Ropa Deportiva,Ropa Ciclismo - Pantalón,Messenger,Facebook,Mobile,Mañana (6am-12pm),Profesional Independiente,Empresa 213,Bucaramanga,7,No,109,Sí,2,No tiene recurso,SG,No
L0310,2025-09-26,Educación,Bootcamp Liderazgo,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Director,Empresa 24,Cúcuta,8,No,39,Sí,3,seguimiento,AP,Sí
L0311,2025-07-03,Educación,IA Generativa para Empresas,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Director,Empresa 475,Cúcuta,9,No,14,Sí,1,Desea cotización,SG,No
L0312,2025-07-12,Seguros,Seguro de Auto,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Coordinador,Empresa 325,Armenia,7,No,47,No contactado,1,Desea cotización,NI,No
L0313,2025-08-08,Educación,Preparación de Renta Personas Naturales,WhatsApp,Facebook,Mobile,Mañana (6am-12pm),Coordinador,Empresa 429,Villavicencio,10,No,31,Sí,7,seguimiento,AP,Sí
L0314,2025-07-19,Seguros,Todo Riesgo Empresarial,Llamada Directa,Facebook,Mobile,Tarde (12pm-6pm),Empresario,Empresa 345,Cúcuta,10,No,1,No,2,Pendiente pago,SG,No
L0315,2025-06-08,Educación,Power BI Empresarial,Messenger,Facebook,Mobile,Noche (6pm-12am),Gerente,Empresa 302,Valledupar,8,No,10,No,2,No aplica,SG,No
L0316,2025-10-20,Ropa Deportiva,Accesorios Ciclismo,Lead Form,Ambas Plataformas,Mobile,Noche (6pm-12am),Contador,Empresa 64,Bucaramanga,9,No,5,Sí,4,seguimiento,AP,Sí
L0317,2025-10-10,Educación,Información Exógena,Lead Form,Facebook,Mobile,Noche (6pm-12am),Asistente,Empresa 396,Valledupar,6,No,19,No,5,MSJW,NC,No
L0318,2025-06-09,Educación,Licitaciones Exitosas,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Director,Empresa 457,Cali,10,Sí,4,No contactado,7,Sin respuesta WhatsApp,NC,No
L0319,2025-08-13,Ropa Deportiva,Ropa Ciclismo - Pantalón,WhatsApp,Instagram,Desktop,Noche (6pm-12am),Contador,Empresa 231,Ibagué,2,No,24,No,3,Pendiente decisión gerencia,NI,No
L0320,2025-06-08,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Facebook,Desktop,Mañana (6am-12pm),Contador,Empresa 235,Cúcuta,2,No,69,No contactado,5,No aplica,NC,No
L0321,2025-06-06,Educación,Información Exógena,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Administrador,Empresa 338,Cartagena,4,No,126,Sí,3,seguimiento,AP,Sí
L0322,2025-10-21,Seguros,Seguro de Auto,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Asesor,Empresa 302,Cúcuta,9,No,150,Sí,1,Pendiente decisión gerencia,NC,No
L0323,2025-09-24,Educación,Actualización Tributaria,Lead Form,Instagram,Desktop,Tarde (12pm-6pm),Gerente,Empresa 490,Pereira,7,No,12,No contactado,6,Desea cotización,NI,No
L0324,2025-09-30,Educación,Contratación Estatal,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Analista,Empresa 259,Manizales,2,No,15,No contactado,6,Pendiente decisión gerencia,NC,No
L0325,2025-10-07,Ropa Deportiva,Ropa Ciclismo - Pantalón,Llamada Directa,Instagram,Desktop,Tarde (12pm-6pm),Analista,Empresa 69,Cartagena,8,No,4,No contactado,7,Precio muy alto,NI,No
L0326,2025-07-04,Ropa Deportiva,Ropa Ciclismo - Pantalón,Lead Form,Instagram,Desktop,Mañana (6am-12pm),Consultor,Empresa 494,Neiva,7,No,7,No,2,No aplica,NC,No
L0327,2025-06-08,Seguros,Seguro de Moto,Lead Form,Facebook,Desktop,Noche (6pm-12am),Director,Empresa 256,Pasto,9,No,62,No contactado,2,No es urgente ahora,NI,No
L0328,2025-10-02,Educación,Bootcamp Liderazgo,Lead Form,Ambas Plataformas,Mobile,Mañana (6am-12pm),Supervisor,Empresa 3,Villavicencio,8,No,79,No contactado,1,Pendiente pago,SG,No
L0329,2025-06-14,Seguros,Seguro de Auto,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Jefe,Empresa 272,Valledupar,3,Sí,166,No contactado,1,Sin respuesta WhatsApp,SG,No
L0330,2025-07-11,Seguros,Seguro de Auto,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 377,Cúcuta,1,No,8,No,3,Se encontraba en reunión,NC,No
L0331,2025-06-11,Ropa Deportiva,Ropa Ciclismo - Conjunto,WhatsApp,Ambas Plataformas,Mobile,Noche (6pm-12am),Especialista,Empresa 25,Manizales,2,Sí,49,Sí,1,Se envía información vía WhatsApp,NC,No
L0332,2025-10-24,Educación,Actualización Tributaria,Messenger,Instagram,Mobile,Noche (6pm-12am),Gerente,Empresa 284,Cali,2,Sí,11,No contactado,7,No tiene recurso,NC,No
L0333,2025-06-11,Educación,Licitaciones Exitosas,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Gerente,Empresa 479,Cartagena,4,No,23,Sí,3,seguimiento,AP,Sí
L0334,2025-11-13,Educación,Excel Intermedio y Avanzado,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Asesor,Empresa 222,Pereira,6,No,0,No,5,Sin respuesta WhatsApp,NI,No
L0335,2025-07-24,Seguros,Seguro de Salud,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Auxiliar,Empresa 430,Manizales,4,No,75,Sí,2,No tiene recurso,SG,No
L0336,2025-09-05,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Especialista,Empresa 300,Medellín,9,No,6,Sí,2,seguimiento,AP,Sí
L0337,2025-06-24,Educación,Actualización Tributaria,Messenger,Facebook,Desktop,Tarde (12pm-6pm),Contador,Empresa 248,Bogotá,4,No,118,No,6,Desea cotización,NI,No
L0338,2025-10-17,Educación,Power BI Empresarial,Lead Form,Facebook,Desktop,Tarde (12pm-6pm),Auxiliar,Empresa 474,Cartagena,6,No,47,Sí,6,Sin respuesta WhatsApp,SG,No
L0339,2025-07-27,Educación,Facebook Ads Profesional,Lead Form,Ambas Plataformas,Mobile,Mañana (6am-12pm),Consultor,Empresa 261,Cali,6,No,136,No contactado,7,Se programa llamada,NI,No
L0340,2025-10-20,Seguros,Seguro de Moto,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 400,Armenia,10,No,24,Sí,2,Ya contrató con otro,SG,No
L0341,2025-10-24,Educación,Contratación Estatal,Lead Form,Facebook,Desktop,Madrugada (12am-6am),Consultor,Empresa 472,Pereira,10,No,24,No,7,Contactar próxima semana,NI,No
L0342,2025-06-04,Seguros,ARL,Lead Form,Instagram,Mobile,Madrugada (12am-6am),Supervisor,Empresa 467,Manizales,1,No,0,Sí,5,seguimiento,AP,Sí
L0343,2025-10-30,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Consultor,Empresa 91,Cúcuta,8,No,0,Sí,5,Número sin WhatsApp,SG,No
L0344,2025-06-14,Seguros,Seguro de Moto,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Contador,Empresa 355,Manizales,3,Sí,127,Sí,4,Número sin WhatsApp,NI,No
L0345,2025-09-09,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Ambas Plataformas,Mobile,Mañana (6am-12pm),Consultor,Empresa 297,Bogotá,6,No,22,No,3,Se envía información vía WhatsApp,NC,No
L0346,2025-11-09,Educación,Información Exógena,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Analista,Empresa 89,Manizales,3,No,24,Sí,6,Número sin WhatsApp,NC,No
L0347,2025-10-21,Educación,Actualización Tributaria,Lead Form,Facebook,Mobile,Noche (6pm-12am),Director,Empresa 375,Bucaramanga,2,No,2,No contactado,3,No contesta,NC,No
L0348,2025-10-16,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Facebook,Mobile,Mañana (6am-12pm),Asistente,Empresa 418,Barranquilla,5,No,19,Sí,6,No tiene recurso,NC,No
L0349,2025-10-05,Educación,Power BI Empresarial,WhatsApp,Ambas Plataformas,Mobile,Noche (6pm-12am),Analista,Empresa 66,Bucaramanga,1,Sí,50,Sí,4,No tiene recurso,NI,No
L0350,2025-08-13,Seguros,Seguro de Vida,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Administrador,Empresa 54,Villavicencio,9,Sí,20,Sí,2,Contactar próxima semana,SG,No
L0351,2025-07-30,Ropa Deportiva,Ropa Ciclismo - Jersey,Lead Form,Facebook,Mobile,Madrugada (12am-6am),Gerente,Empresa 199,Manizales,7,No,5,Sí,7,Sin respuesta WhatsApp,SG,No
L0352,2025-07-16,Ropa Deportiva,Ropa Ciclismo - Pantalón,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Asistente,Empresa 337,Pereira,3,Sí,46,No,3,Sin respuesta WhatsApp,NI,No
L0353,2025-11-12,Ropa Deportiva,Ropa Ciclismo - Conjunto,Lead Form,Ambas Plataformas,Desktop,Noche (6pm-12am),Coordinador,Empresa 308,Cartagena,4,No,1,No contactado,6,Precio muy alto,NC,No
L0354,2025-08-13,Educación,Excel Intermedio y Avanzado,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Asistente,Empresa 311,Villavicencio,6,No,43,No,3,No le interesa,NC,No
L0355,2025-07-25,Educación,Bootcamp Liderazgo,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Asistente,Empresa 452,Cali,3,No,29,Sí,2,seguimiento,AP,Sí
L0356,2025-07-31,Educación,Facebook Ads Profesional,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Analista,Empresa 165,Villavicencio,7,Sí,5,Sí,7,Precio muy alto,SG,No
L0357,2025-09-03,Educación,Contratación Estatal,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Gerente,Empresa 259,Valledupar,6,No,46,No,1,Se encontraba en reunión,NI,No
L0358,2025-06-27,Ropa Deportiva,Ropa Ciclismo - Conjunto,Lead Form,Instagram,Mobile,Noche (6pm-12am),Asistente,Empresa 452,Armenia,9,No,0,No contactado,6,Pendiente decisión gerencia,NC,No
L0359,2025-11-12,Ropa Deportiva,Ropa Ciclismo - Pantalón,Messenger,Instagram,Desktop,Noche (6pm-12am),Asesor,Empresa 197,Cartagena,5,Sí,87,Sí,1,No tiene recurso,SG,No
L0360,2025-11-06,Seguros,Seguro de Moto,Lead Form,Instagram,Mobile,Noche (6pm-12am),Asesor,Empresa 215,Medellín,4,No,20,No,4,Se programa llamada,NI,No
L0361,2025-08-09,Educación,Licitaciones Exitosas,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Administrador,Empresa 312,Cartagena,3,No,50,Sí,7,Desea cotización,NI,No
L0362,2025-09-19,Seguros,Todo Riesgo Empresarial,Lead Form,Instagram,Mobile,Noche (6pm-12am),Analista,Empresa 469,Cartagena,10,No,19,Sí,5,seguimiento,AP,Sí
L0363,2025-08-13,Educación,Actualización Tributaria,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Analista,Empresa 355,Cúcuta,1,No,17,No,3,Contactar próxima semana,SG,No
L0364,2025-06-12,Educación,Contratación Estatal,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Asistente,Empresa 391,Cali,3,Sí,6,Sí,6,Se envía información vía WhatsApp,NC,No
L0365,2025-05-27,Educación,Contratación Estatal,Messenger,Ambas Plataformas,Desktop,Tarde (12pm-6pm),Contador,Empresa 128,Bogotá,3,No,9,No,3,Información enviada,NC,No
L0366,2025-09-19,Seguros,Seguro de Vida,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Gerente,Empresa 141,Valledupar,7,No,36,Sí,4,seguimiento,AP,Sí
L0367,2025-10-31,Educación,Licitaciones Exitosas,Llamada Directa,Facebook,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 204,Manizales,7,No,152,No,4,No es urgente ahora,NC,No
L0368,2025-10-16,Educación,IA Generativa para Empresas,Messenger,Facebook,Mobile,Mañana (6am-12pm),Supervisor,Empresa 494,Bogotá,1,Sí,168,Sí,3,Pendiente decisión gerencia,NC,No
L0369,2025-06-19,Educación,Bootcamp Liderazgo,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Profesional Independiente,Empresa 176,Medellín,3,No,32,No contactado,6,No aplica,NI,No
L0370,2025-06-12,Educación,Contratación Estatal,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Administrador,Empresa 497,Ibagué,8,No,4,Sí,7,seguimiento,AP,Sí
L0371,2025-10-09,Ropa Deportiva,Ropa Ciclismo - Conjunto,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 151,Armenia,9,No,132,No contactado,2,Revisión de Info,NC,No
L0372,2025-07-18,Educación,Contratación Estatal,WhatsApp,Facebook,Mobile,Mañana (6am-12pm),Asistente,Empresa 232,Bucaramanga,7,Sí,7,No contactado,7,No aplica,NC,No
L0373,2025-10-01,Educación,Excel Intermedio y Avanzado,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Supervisor,Empresa 413,Valledupar,7,No,15,No contactado,2,No le interesa,NC,No
L0374,2025-07-31,Ropa Deportiva,Accesorios Ciclismo,Lead Form,Instagram,Mobile,Mañana (6am-12pm),Auxiliar,Empresa 69,Armenia,8,No,12,No,5,Desea cotización,NC,No
L0375,2025-06-27,Educación,Contratación Estatal,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Auxiliar,Empresa 71,Pasto,6,No,17,No,7,Precio muy alto,NC,No
L0376,2025-08-22,Educación,Facebook Ads Profesional,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Coordinador,Empresa 212,Manizales,3,No,90,Sí,3,NO CONTESTA,NI,No
L0377,2025-06-11,Ropa Deportiva,Accesorios Ciclismo,Messenger,Instagram,Desktop,Tarde (12pm-6pm),Gerente,Empresa 309,Pasto,1,No,12,Sí,3,Se programa llamada,SG,No
L0378,2025-07-26,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Administrador,Empresa 359,Pasto,7,No,3,Sí,6,No aplica,NC,No
L0379,2025-08-27,Seguros,Todo Riesgo Empresarial,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Analista,Empresa 454,Armenia,1,No,45,Sí,3,Información enviada,NC,No
L0380,2025-08-05,Educación,Facebook Ads Profesional,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Empresario,Empresa 384,Barranquilla,1,No,158,No contactado,6,Contactar próxima semana,SG,No
L0381,2025-07-04,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Director,Empresa 263,Bucaramanga,9,No,7,Sí,3,seguimiento,AP,Sí
L0382,2025-09-14,Educación,Excel Intermedio y Avanzado,Lead Form,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Jefe,Empresa 154,Medellín,10,Sí,115,No,4,No tiene recurso,NI,No
L0383,2025-10-11,Educación,Actualización Tributaria,Lead Form,Instagram,Mobile,Noche (6pm-12am),Especialista,Empresa 432,Manizales,7,No,103,No,1,NO CONTESTA,SG,No
L0384,2025-11-21,Seguros,Seguro de Salud,Messenger,Instagram,Mobile,Mañana (6am-12pm),Empresario,Empresa 360,Pereira,4,No,146,No,3,Contactar próxima semana,NI,No
L0385,2025-08-10,Educación,Preparación de Renta Personas Naturales,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Supervisor,Empresa 281,Villavicencio,6,No,6,No,1,No contesta,SG,No
L0386,2025-10-28,Educación,IA Generativa para Empresas,Messenger,Instagram,Desktop,Noche (6pm-12am),Administrador,Empresa 441,Valledupar,1,No,88,Sí,2,Revisión de Info,SG,No
L0387,2025-11-08,Seguros,Seguro de Moto,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Gerente,Empresa 161,Medellín,7,No,2,No,5,Precio muy alto,SG,No
L0388,2025-10-07,Educación,IA Generativa para Empresas,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Consultor,Empresa 365,Valledupar,6,No,63,Sí,7,MSJW,NC,No
L0389,2025-05-27,Educación,Facebook Ads Profesional,Messenger,Instagram,Mobile,Mañana (6am-12pm),Gerente,Empresa 378,Barranquilla,4,Sí,8,No contactado,7,Ya contrató con otro,NI,No
L0390,2025-11-11,Educación,Facebook Ads Profesional,Messenger,Ambas Plataformas,Mobile,Noche (6pm-12am),Supervisor,Empresa 479,Bucaramanga,7,No,141,No,2,Pendiente decisión gerencia,NI,No
L0391,2025-10-13,Ropa Deportiva,Ropa Ciclismo - Conjunto,Llamada Directa,Facebook,Mobile,Tarde (12pm-6pm),Asistente,Empresa 284,Neiva,3,Sí,1,No contactado,3,Se envía información vía WhatsApp,NC,No
L0392,2025-08-09,Educación,Licitaciones Exitosas,Lead Form,Instagram,Desktop,Mañana (6am-12pm),Asistente,Empresa 324,Cúcuta,1,No,100,Sí,7,Desea cotización,NI,No
L0393,2025-11-10,Educación,Información Exógena,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Empresario,Empresa 112,Cali,4,No,86,Sí,6,No tiene recurso,NI,No
L0394,2025-06-20,Ropa Deportiva,Ropa Ciclismo - Pantalón,Messenger,Facebook,Mobile,Mañana (6am-12pm),Analista,Empresa 103,Barranquilla,3,No,16,Sí,2,Pendiente decisión gerencia,SG,No
L0395,2025-06-28,Educación,Licitaciones Exitosas,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Especialista,Empresa 108,Medellín,1,No,3,Sí,4,seguimiento,AP,Sí
L0396,2025-07-31,Educación,Power BI Empresarial,Messenger,Instagram,Tablet,Mañana (6am-12pm),Coordinador,Empresa 320,Manizales,2,Sí,3,Sí,1,seguimiento,AP,Sí
L0397,2025-06-23,Educación,Facebook Ads Profesional,Messenger,Instagram,Desktop,Mañana (6am-12pm),Asistente,Empresa 366,Ibagué,5,Sí,2,Sí,6,seguimiento,AP,Sí
L0398,2025-06-21,Educación,Facebook Ads Profesional,Lead Form,Facebook,Desktop,Tarde (12pm-6pm),Jefe,Empresa 149,Manizales,8,No,43,Sí,7,Sin respuesta WhatsApp,SG,No
L0399,2025-10-13,Seguros,Seguro de Vida,Messenger,Facebook,Mobile,Mañana (6am-12pm),Administrador,Empresa 352,Bucaramanga,1,No,31,No,6,Revisión de Info,NC,No
L0400,2025-07-03,Educación,Licitaciones Exitosas,Messenger,Instagram,Mobile,Noche (6pm-12am),Jefe,Empresa 177,Ibagué,4,No,31,No contactado,3,Se encontraba en reunión,NI,No
L0401,2025-08-02,Educación,Preparación de Renta Personas Naturales,WhatsApp,Instagram,Mobile,Mañana (6am-12pm),Coordinador,Empresa 472,Bogotá,4,No,35,No,4,No aplica,NC,No
L0402,2025-08-05,Seguros,ARL,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Contador,Empresa 345,Bucaramanga,5,No,1,Sí,1,seguimiento,AP,Sí
L0403,2025-10-26,Educación,Bootcamp Liderazgo,Lead Form,Instagram,Tablet,Mañana (6am-12pm),Contador,Empresa 68,Bucaramanga,7,No,8,Sí,4,Revisión de Info,SG,No
L0404,2025-07-17,Educación,Licitaciones Exitosas,Messenger,Facebook,Mobile,Tarde (12pm-6pm),Gerente,Empresa 364,Pasto,8,No,46,No,2,NO CONTESTA,SG,No
L0405,2025-08-20,Seguros,ARL,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Consultor,Empresa 333,Barranquilla,6,No,29,Sí,3,Pendiente decisión gerencia,SG,No
L0406,2025-07-16,Educación,Power BI Empresarial,Messenger,Facebook,Desktop,Mañana (6am-12pm),Asistente,Empresa 500,Manizales,1,No,110,No,6,NO CONTESTA,SG,No
L0407,2025-11-16,Educación,Preparación de Renta Personas Naturales,WhatsApp,Ambas Plataformas,Desktop,Madrugada (12am-6am),Auxiliar,Empresa 491,Villavicencio,7,No,29,Sí,6,MSJW,NC,No
L0408,2025-11-03,Seguros,Todo Riesgo Empresarial,WhatsApp,Facebook,Tablet,Mañana (6am-12pm),Asesor,Empresa 92,Neiva,3,Sí,2,No contactado,2,Ya contrató con otro,NI,No
L0409,2025-07-31,Educación,Bootcamp Liderazgo,Messenger,Facebook,Mobile,Noche (6pm-12am),Asesor,Empresa 258,Pasto,6,No,8,No,6,Se encontraba en reunión,SG,No
L0410,2025-10-01,Ropa Deportiva,Ropa Ciclismo - Conjunto,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Empresario,Empresa 278,Medellín,8,No,100,No,5,No contesta,NI,No
L0411,2025-09-27,Seguros,ARL,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Profesional Independiente,Empresa 356,Cali,7,No,7,Sí,3,seguimiento,AP,Sí
L0412,2025-07-28,Seguros,Seguro de Salud,Llamada Directa,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Coordinador,Empresa 327,Armenia,10,No,144,Sí,2,seguimiento,AP,Sí
L0413,2025-06-07,Educación,Contratación Estatal,Llamada Directa,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Gerente,Empresa 166,Cartagena,6,Sí,3,No,3,Se programa llamada,NC,No
L0414,2025-06-17,Educación,IA Generativa para Empresas,Lead Form,Facebook,Mobile,Mañana (6am-12pm),Auxiliar,Empresa 364,Cali,9,Sí,104,No,1,No le interesa,NI,No
L0415,2025-11-03,Ropa Deportiva,Ropa Ciclismo - Pantalón,Lead Form,Instagram,Desktop,Mañana (6am-12pm),Asesor,Empresa 60,Armenia,9,No,110,Sí,3,Información enviada,SG,No
L0416,2025-09-10,Ropa Deportiva,Accesorios Ciclismo,Lead Form,Instagram,Mobile,Noche (6pm-12am),Asistente,Empresa 390,Bogotá,1,No,38,Sí,3,No es urgente ahora,NC,No
L0417,2025-08-03,Ropa Deportiva,Ropa Ciclismo - Jersey,WhatsApp,Ambas Plataformas,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 181,Valledupar,1,No,102,Sí,1,Revisión de Info,NC,No
L0418,2025-06-05,Educación,Bootcamp Liderazgo,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Auxiliar,Empresa 288,Medellín,1,No,9,No,2,Pendiente decisión gerencia,NI,No
L0419,2025-05-25,Educación,Power BI Empresarial,Lead Form,Facebook,Mobile,Noche (6pm-12am),Consultor,Empresa 246,Manizales,8,No,36,Sí,3,Pendiente decisión gerencia,SG,No
L0420,2025-08-18,Educación,Power BI Empresarial,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Auxiliar,Empresa 299,Villavicencio,10,No,98,No,4,Se encontraba en reunión,NC,No
L0421,2025-06-27,Educación,Facebook Ads Profesional,Messenger,Instagram,Desktop,Madrugada (12am-6am),Supervisor,Empresa 293,Pereira,7,No,47,No,3,Información enviada,NI,No
L0422,2025-11-04,Educación,Power BI Empresarial,Messenger,Facebook,Mobile,Noche (6pm-12am),Asesor,Empresa 483,Bucaramanga,3,No,41,No,2,Revisión de Info,NI,No
L0423,2025-07-31,Educación,Preparación de Renta Personas Naturales,WhatsApp,Instagram,Desktop,Tarde (12pm-6pm),Consultor,Empresa 342,Villavicencio,2,No,46,No contactado,6,Llamar nuevamente,NI,No
L0424,2025-07-05,Ropa Deportiva,Ropa Ciclismo - Pantalón,Lead Form,Facebook,Mobile,Noche (6pm-12am),Coordinador,Empresa 364,Valledupar,4,No,114,No contactado,7,Se encontraba en reunión,NC,No
L0425,2025-09-15,Educación,Información Exógena,WhatsApp,Instagram,Desktop,Mañana (6am-12pm),Gerente,Empresa 214,Pasto,3,Sí,5,No,1,Información enviada,SG,No
L0426,2025-10-13,Educación,Actualización Tributaria,Lead Form,Facebook,Mobile,Tarde (12pm-6pm),Analista,Empresa 346,Neiva,7,No,53,Sí,6,Se envía información vía WhatsApp,NC,No
L0427,2025-11-21,Educación,Power BI Empresarial,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Jefe,Empresa 383,Cúcuta,10,Sí,79,Sí,2,Se programa llamada,SG,No
L0428,2025-09-11,Ropa Deportiva,Ropa Ciclismo - Conjunto,Messenger,Instagram,Mobile,Mañana (6am-12pm),Empresario,Empresa 458,Cali,8,No,36,No,5,Desea cotización,NI,No
L0429,2025-10-15,Seguros,Todo Riesgo Empresarial,WhatsApp,Instagram,Desktop,Noche (6pm-12am),Gerente,Empresa 431,Armenia,6,No,53,No,7,Contactar próxima semana,NC,No
L0430,2025-05-27,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Supervisor,Empresa 274,Pereira,3,No,40,No,6,Revisión de Info,NI,No
L0431,2025-06-22,Ropa Deportiva,Accesorios Ciclismo,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Profesional Independiente,Empresa 147,Cali,6,No,54,Sí,3,No contesta,NI,No
L0432,2025-06-13,Ropa Deportiva,Accesorios Ciclismo,Messenger,Instagram,Tablet,Tarde (12pm-6pm),Auxiliar,Empresa 450,Medellín,2,No,5,No,7,Número sin WhatsApp,NC,No
L0433,2025-11-17,Seguros,Seguro de Vida,Lead Form,Instagram,Desktop,Madrugada (12am-6am),Analista,Empresa 434,Manizales,7,No,17,Sí,3,seguimiento,AP,Sí
L0434,2025-07-02,Educación,IA Generativa para Empresas,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Supervisor,Empresa 217,Ibagué,10,Sí,84,No,1,Contactar próxima semana,NC,No
L0435,2025-10-11,Educación,Información Exógena,WhatsApp,Instagram,Mobile,Tarde (12pm-6pm),Coordinador,Empresa 414,Cali,7,No,37,Sí,3,Se programa llamada,SG,No
L0436,2025-06-03,Seguros,ARL,Lead Form,Instagram,Mobile,Tarde (12pm-6pm),Director,Empresa 7,Cali,4,Sí,9,No,7,No aplica,NI,No
L0437,2025-08-27,Educación,Bootcamp Liderazgo,WhatsApp,Facebook,Mobile,Noche (6pm-12am),Supervisor,Empresa 268,Cúcuta,8,No,28,Sí,4,Ya contrató con otro,SG,No
L0438,2025-10-21,Educación,Preparación de Renta Personas Naturales,Messenger,Instagram,Mobile,Tarde (12pm-6pm),Asesor,Empresa 55,Manizales,4,No,44,Sí,4,No le interesa,NC,No
L0439,2025-10-13,Ropa Deportiva,Accesorios Ciclismo,Lead Form,Instagram,Desktop,Noche (6pm-12am),Asesor,Empresa 13,Villavicencio,7,No,47,No,6,Información enviada,NI,No
L0440,2025-07-01,Educación,Actualización Tributaria,WhatsApp,Facebook,Desktop,Noche (6pm-12am),Empresario,Empresa 196,Neiva,4,No,29,Sí,2,Pendiente decisión gerencia,NC,No
L0441,2025-09-12,Ropa Deportiva,Ropa Ciclismo - Conjunto,WhatsApp,Facebook,Mobile,Tarde (12pm-6pm),Empresario,Empresa 75,Pasto,5,No,168,No,1,Pendiente pago,NI,No
L0442,2025-06-26,Educación,Licitaciones Exitosas,Llamada Directa,Facebook,Mobile,Tarde (12pm-6pm),Jefe,Empresa 28,Neiva,7,Sí,117,No,5,Se encontraba en reunión,NI,No
L0443,2025-06-04,Seguros,Seguro de Vida,WhatsApp,Instagram,Mobile,Noche (6pm-12am),Director,Empresa 344,Cúcuta,10,No,5,No,6,No es urgente ahora,NC,No
